10,10,0,0,0,10,10,10,10,10,10,10,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,6,6,6,6,6,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,6,6,6,6,6,6,6,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,6,6,6,6,6,6,6,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,10,10,10,10,10,10,10,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,10,10,10,10,10,10,10,0,0,21,23,25,20,0,0,0,0,0,0,0,0,0
10,10,0,0,0,10,10,10,10,10,10,10,0,0,22,24,26,20,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
